Algoritmo,Configuracion,Run,Bandgap (Hz),Max Stress (MPa),Volumen,Tiempo (s)
MpGA,Homogeneo S1,0,932.4158263484285,14.76041489429171,0.45367187499999995,120.33932518959045
MpGA,Homogeneo S1,1,932.600725566147,76.3960135837408,0.4380625,122.1415798664093
MpGA,Homogeneo S1,2,897.7597054099881,27.350709403202636,0.45367187500000006,117.29080867767334
MpGA,Homogeneo S1,3,1555.989773626322,2.6066506867246044,0.46928125,116.70214676856995
MpGA,Homogeneo S1,4,1280.7900489033148,120.98920249458212,0.4380625000000001,103.751638174057
MpGA,Homogeneo S1,5,1273.5670052927187,63.48769926581413,0.4380625000000001,115.09290385246277
MpGA,Homogeneo S1,6,1273.9013344008304,3.092097418407935,0.453671875,92.74947953224182
MpGA,Homogeneo S1,7,492.05368201932833,4.466494386646262,0.4380625,85.65087938308716
MpGA,Homogeneo S1,8,1045.037480428196,3.09082288277674,0.45367187500000006,104.12068557739258
MpGA,Homogeneo S1,9,1556.7705800563467,2.606751001998267,0.45367187500000006,88.07276797294617
MpGA,Homogeneo S2,0,951.4224149558631,14.789395821734585,0.45367187499999995,96.42849493026733
MpGA,Homogeneo S2,1,672.2212980594068,94.29213438085074,0.45367187499999995,101.25346851348877
MpGA,Homogeneo S2,2,897.7597054099905,27.350709399165627,0.45367187500000006,93.88466906547546
MpGA,Homogeneo S2,3,1555.9897732478757,2.606650686620249,0.46928125,100.15430784225464
MpGA,Homogeneo S2,4,1280.7900488821747,115.37475994422671,0.4380625000000001,108.01951789855957
MpGA,Homogeneo S2,5,1273.5670052927194,64.1582772333399,0.4380625000000001,111.27187371253967
MpGA,Homogeneo S2,6,1273.9013342982853,3.0920974184019454,0.453671875,113.5906343460083
MpGA,Homogeneo S2,7,492.0536820452962,4.466494386628324,0.4380625,107.45448207855225
MpGA,Homogeneo S2,8,1045.037480248206,3.090822882828366,0.45367187500000006,109.62344169616699
MpGA,Homogeneo S2,9,1556.7705800585868,2.6067510025597214,0.45367187500000006,96.49451732635498
MpGA,Heterogeneo S1+S2,0,589.1799549787768,73.50110979191145,0.4380625,76.4486780166626
MpGA,Heterogeneo S1+S2,1,1521.2744095786493,2.696283021740899,0.45367187500000006,76.09128785133362
MpGA,Heterogeneo S1+S2,2,1556.7705800563467,2.606751002503133,0.45367187500000006,70.99439930915833
MpGA,Heterogeneo S1+S2,3,691.0031307595937,7.664409266933238,0.45367187500000006,90.73971652984619
MpGA,Heterogeneo S1+S2,4,661.5180897883924,105.5036368267975,0.4380625,78.18080735206604
MpGA,Heterogeneo S1+S2,5,955.6183747567534,4.139646979718941,0.45367187500000006,98.93310022354126
MpGA,Heterogeneo S1+S2,6,849.3576406810558,19.27001120962601,0.45367187499999995,101.95482468605042
MpGA,Heterogeneo S1+S2,7,918.0727979825544,158.61725731380892,0.4380625,87.73603296279907
MpGA,Heterogeneo S1+S2,8,708.3685922607287,5.754866269591782,0.45367187499999995,76.55999231338501
MpGA,Heterogeneo S1+S2,9,608.6455310351046,133.14648560469436,0.45367187500000006,74.72965860366821
MpGA,Secuencial S1 (Bottleneck),0,932.4158263484285,14.760414894316696,0.45367187499999995,44.030320167541504
MpGA,Secuencial S1 (Bottleneck),1,672.2212980594081,116.16892600514772,0.45367187499999995,75.42773604393005
MpGA,Secuencial S1 (Bottleneck),2,897.7597054099881,27.350709393082635,0.45367187500000006,37.07350778579712
MpGA,Secuencial S1 (Bottleneck),3,1555.989773626322,2.606650686477191,0.46928125,48.89061617851257
MpGA,Secuencial S1 (Bottleneck),4,1280.7900489033148,116.67121793107945,0.4380625000000001,50.17736768722534
MpGA,Secuencial S1 (Bottleneck),5,1273.5670052927196,66.5528265507405,0.4380625000000001,54.881686210632324
MpGA,Secuencial S1 (Bottleneck),6,1273.9013344008304,3.092097418409507,0.453671875,64.39281988143921
MpGA,Secuencial S1 (Bottleneck),7,492.05368201932833,4.46649438668829,0.4380625,55.37594223022461
MpGA,Secuencial S1 (Bottleneck),8,1045.037480428196,3.09082288280526,0.45367187500000006,56.25588846206665
MpGA,Secuencial S1 (Bottleneck),9,1556.7705800563467,2.606751001944267,0.45367187500000006,55.14335584640503
MpGA,Secuencial S2 (Bottleneck),0,827.0173713756074,154.58480008770564,0.45367187500000006,111.63343739509583
MpGA,Secuencial S2 (Bottleneck),1,1101.5384196479877,98.76357577146699,0.45367187500000006,118.19690489768982
MpGA,Secuencial S2 (Bottleneck),2,395.33484646309853,43.303976372895946,0.45367187500000006,111.19009351730347
MpGA,Secuencial S2 (Bottleneck),3,753.7637797343158,5.693409167887812,0.43806249999999997,104.3924207687378
MpGA,Secuencial S2 (Bottleneck),4,1040.2122211044311,54.83950751079871,0.46928125000000004,81.07772636413574
MpGA,Secuencial S2 (Bottleneck),5,1273.5670052927196,63.2846200276627,0.4380625000000001,77.33583879470825
MpGA,Secuencial S2 (Bottleneck),6,1255.2812195077827,3.0407490260413037,0.453671875,86.25702714920044
MpGA,Secuencial S2 (Bottleneck),7,787.2766421884314,5.595454698912793,0.4380625,75.05812907218933
MpGA,Secuencial S2 (Bottleneck),8,1025.7178895906848,2.887857370138118,0.45367187500000006,73.38279700279236
MpGA,Secuencial S2 (Bottleneck),9,1513.492155235947,2.5478376270675303,0.453671875,69.62057948112488
MS-MBPSO,Homogeneo S1,0,803.6925874584642,22.648892295242547,0.45367187499999995,55.68758416175842
MS-MBPSO,Homogeneo S1,1,828.0283769845105,67.42251460236284,0.453671875,40.33643889427185
MS-MBPSO,Homogeneo S1,2,450.0862558750449,117.92898260915204,0.4380625000000001,36.286799907684326
MS-MBPSO,Homogeneo S1,3,897.1901757207424,19.92703916481845,0.46928125,39.09616041183472
MS-MBPSO,Homogeneo S1,4,838.3099885539227,136.21348053240928,0.4380625000000001,35.7877836227417
MS-MBPSO,Homogeneo S1,5,722.5923628511885,3.0580835818669443,0.45367187500000006,35.957059144973755
MS-MBPSO,Homogeneo S1,6,612.1051268586314,21.77785300336527,0.453671875,53.76864981651306
MS-MBPSO,Homogeneo S1,7,985.7109023200373,19.48839102884523,0.45367187500000006,35.95309233665466
